candidate,status,updated_at_utc
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\31.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\32.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\33.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\34.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\35.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\36.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\37.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\38.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\39.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\4.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\40.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\41.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\42.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\43.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\44.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\45.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\46.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\47.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\48.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\49.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\5.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\50.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\51.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\52.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\53.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\54.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\55.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\56.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\57.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\58.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\59.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\6.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\60.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\61.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\62.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\63.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\64.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\65.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\66.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\67.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\68.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\69.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\7.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\70.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\71.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\72.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\73.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\74.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\75.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\76.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\77.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\78.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\79.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\8.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\80.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\81.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\82.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\83.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\84.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\85.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\86.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\87.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\88.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\89.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\9.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\90.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\91.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\92.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\93.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\94.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\95.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\96.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\97.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\98.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\99.png,good,2026-08-14T12:13:46+00:00
